stage,d1,d2,beta_deg,sensor_x,sensor_y,worst_diameter,mean_diameter,worst_epsilon,bounded_all,diameter_pass_all,circle_pass_all,clear_ready_all,epsilon_count
coarse,200.0,400.0,91.6,211.16865548942755,-399.84404601614176,15.797143867240957,15.787855808978371,1.0,True,True,False,False,101
coarse,200.0,400.0,91.65,211.51758094730545,-399.83414727749584,15.803166796284138,15.793634387872448,1.0,True,True,False,False,101
coarse,200.0,400.0,91.7,211.86649763404435,-399.8239440477536,15.809200273300481,15.799423315044233,1.0,True,True,False,False,101
coarse,200.0,400.0,91.75,212.21540528392907,-399.81343633468515,15.815244310790519,15.805222602125266,1.0,True,True,False,False,101
coarse,200.0,400.0,91.8,212.5643036312513,-399.80262414629266,15.821298921297517,15.811032260788284,1.0,True,True,False,False,101
coarse,200.0,400.0,91.85,212.91319241030976,-399.7915074908099,15.827364117406859,15.816852302747177,1.0,True,True,False,False,101
coarse,200.0,400.0,91.9,213.26207135541054,-399.78008637670285,15.83343991174705,15.822682739757163,1.0,True,True,False,False,101
coarse,200.0,400.0,91.95,213.610940200867,-399.76836081266913,15.83952631698956,15.828523583614798,1.0,True,True,False,False,101
coarse,200.0,400.0,92.0,213.9597986810004,-399.7563308076383,15.845623345848463,15.834374846158099,1.0,True,True,False,False,101
coarse,200.0,400.0,92.05,214.3086465301398,-399.7439963707717,15.851731011081098,15.840236539266543,1.0,True,True,False,False,101
coarse,200.0,400.0,92.1,214.65748348262247,-399.7313575114625,15.857849325487718,15.846108674861249,1.0,True,True,False,False,101
coarse,200.0,400.0,92.15,215.0063092727939,-399.71841423933586,15.863978301911871,15.851991264904958,1.0,True,True,False,False,101
coarse,200.0,400.0,92.2,215.35512363500797,-399.7051665642485,15.87011795324016,15.857884321402151,1.0,True,True,False,False,101
coarse,200.0,400.0,92.25,215.7039263036274,-399.69161449628916,15.876268292402827,15.863787856399105,1.0,True,True,False,False,101
coarse,200.0,400.0,92.3,216.05271701302385,-399.6777580457784,15.882429332373242,15.869701881984016,1.0,True,True,False,False,101
coarse,200.0,400.0,92.35,216.40149549757797,-399.6635972232684,15.888601086168414,15.875626410287015,1.0,True,True,False,False,101
coarse,200.0,400.0,92.4,216.75026149167985,-399.64913203954336,15.894783566849004,15.881561453480272,1.0,True,True,False,False,101
coarse,200.0,400.0,92.45,217.09901472972888,-399.63436250561904,15.900976787519138,15.88750702377808,1.0,True,True,False,False,101
