x,y,distance_from_s1,angle_from_first_bearing,coverage_ratio,valid_polygon_ratio,diameter_pass_ratio,circle_coverage_pass_ratio,clear_ready_outcome_ratio,median_diameter,p90_diameter,max_valid_diameter,robust_pass_count,target_count,outcome_count,valid_polygon_count,diameter_pass_count,circle_coverage_pass_count,clear_ready_outcome_count,circle_blocked_diameter_pass_count,undefined_target_count,target_radius
200.0,-1800.0,1811.0770276274834,-83.6598082540901,0.0,1.0,0.0,1.0,0.0,143.5073493138655,148.72347550759747,151.17656464566733,0,9,45,45,0,45,0,0,0,1500.0
300.0,-1800.0,1824.8287590894658,-80.53767779197439,0.0,1.0,0.0,0.4222222222222222,0.0,63.72429303471794,64.13150360877728,64.13175081831572,0,9,45,45,0,19,0,0,0,300.0
300.0,-1800.0,1824.8287590894658,-80.53767779197439,0.0,1.0,0.0,1.0,0.0,71.25234648413232,72.52289702865235,72.59851868910332,0,9,45,45,0,45,0,0,0,600.0
300.0,-1800.0,1824.8287590894658,-80.53767779197439,0.0,1.0,0.0,1.0,0.0,86.26997000586091,88.44388496249425,88.81313875291258,0,9,45,45,0,45,0,0,0,900.0
300.0,-1800.0,1824.8287590894658,-80.53767779197439,0.0,1.0,0.0,1.0,0.0,108.03803865575645,111.30718442917022,112.31736448645215,0,9,45,45,0,45,0,0,0,1200.0
300.0,-1800.0,1824.8287590894658,-80.53767779197439,0.0,1.0,0.0,1.0,0.0,136.2932511521876,140.9965833070068,143.13998295623384,0,9,45,45,0,45,0,0,0,1500.0
400.0,-1800.0,1843.9088914585775,-77.47119229084849,0.0,1.0,0.0,1.0,0.0,64.45072362721241,64.523038093859,64.52399368515773,0,9,45,45,0,45,0,0,0,300.0
400.0,-1800.0,1843.9088914585775,-77.47119229084849,0.0,1.0,0.0,1.0,0.0,69.21289223355001,70.29600823657871,70.33865459133338,0,9,45,45,0,45,0,0,0,600.0
400.0,-1800.0,1843.9088914585775,-77.47119229084849,0.0,1.0,0.0,1.0,0.0,82.66322945353045,84.59823064761466,84.87876151730418,0,9,45,45,0,45,0,0,0,900.0
400.0,-1800.0,1843.9088914585775,-77.47119229084849,0.0,1.0,0.0,1.0,0.0,102.8658621156899,105.80277275295421,106.64056782343779,0,9,45,45,0,45,0,0,0,1200.0
