rank,x,y,distance_from_s1,angle_from_first_bearing,coverage_ratio,valid_polygon_ratio,diameter_pass_ratio,circle_coverage_pass_ratio,clear_ready_outcome_ratio,median_diameter,p90_diameter,max_valid_diameter,robust_pass_count,target_count,outcome_count,valid_polygon_count,diameter_pass_count,circle_coverage_pass_count,clear_ready_outcome_count,circle_blocked_diameter_pass_count,undefined_target_count
61,550.0,-750.0,930.0537618869137,-53.74616226255522,0.4,1.0,0.4444444444444444,0.9807407407407407,0.42518518518518517,45.529726203851276,120.56037743491231,159.47925760895055,108,270,1350,1350,600,1324,574,26,0
62,550.0,750.0,930.0537618869137,53.74616226255522,0.4,1.0,0.4444444444444444,0.9807407407407407,0.42518518518518517,45.52972620385123,120.56037743491258,159.47925760894992,108,270,1350,1350,600,1324,574,26,0
63,450.0,-300.0,540.8326913195984,-33.690067525979785,0.3962962962962963,1.0,0.4325925925925926,0.9807407407407407,0.41333333333333333,58.55568578593094,264.0341587713539,445.66614234012593,107,270,1350,1350,584,1324,558,26,0
64,450.0,300.0,540.8326913195984,33.690067525979785,0.3962962962962963,1.0,0.4325925925925926,0.9807407407407407,0.41333333333333333,58.555685785930635,264.0341587713549,445.6661423401273,107,270,1350,1350,584,1324,558,26,0
65,500.0,-750.0,901.3878188659974,-56.309932474020215,0.3925925925925926,1.0,0.4318518518518519,0.9807407407407407,0.41259259259259257,47.94599730811297,127.28836941429981,168.5386862394016,106,270,1350,1350,583,1324,557,26,0
66,500.0,750.0,901.3878188659974,56.309932474020215,0.3925925925925926,1.0,0.4318518518518519,0.9807407407407407,0.41259259259259257,47.94599730811269,127.28836941429908,168.5386862394027,106,270,1350,1350,583,1324,557,26,0
67,650.0,-500.0,820.0609733428363,-37.568592028827496,0.3851851851851852,1.0,0.43703703703703706,0.9807407407407407,0.4177777777777778,43.05388139455051,132.80879562173817,191.0284430258289,104,270,1350,1350,590,1324,564,26,0
68,650.0,500.0,820.0609733428363,37.568592028827496,0.3851851851851852,1.0,0.43703703703703706,0.9807407407407407,0.4177777777777778,43.053881394550395,132.80879562173752,191.02844302582804,104,270,1350,1350,590,1324,564,26,0
69,450.0,-650.0,790.5694150420949,-55.30484646876604,0.3814814814814815,1.0,0.42962962962962964,0.9807407407407407,0.4103703703703704,49.82154269744697,145.33862466095917,198.27640213397626,103,270,1350,1350,580,1324,554,26,0
70,450.0,650.0,790.5694150420949,55.30484646876604,0.3814814814814815,1.0,0.42962962962962964,0.9807407407407407,0.4103703703703704,49.821542697447015,145.33862466095832,198.27640213397476,103,270,1350,1350,580,1324,554,26,0
71,450.0,-250.0,514.78150704935,-29.054604099077146,0.37407407407407406,1.0,0.4192592592592593,0.9807407407407407,0.4,64.4624378569965,311.57218879371794,570.1176897101133,101,270,1350,1350,566,1324,540,26,0
72,450.0,250.0,514.78150704935,29.054604099077146,0.37407407407407406,1.0,0.4192592592592593,0.9807407407407407,0.4,64.46243785699625,311.57218879372004,570.117689710115,101,270,1350,1350,566,1324,540,26,0
73,400.0,-300.0,500.0,-36.86989764584402,0.36666666666666664,1.0,0.4,0.9807407407407407,0.38074074074074077,66.33390570691012,283.01151535402596,480.28866136307886,99,270,1350,1350,540,1324,514,26,0
74,400.0,300.0,500.0,36.86989764584402,0.36666666666666664,1.0,0.4,0.9807407407407407,0.38074074074074077,66.33390570691049,283.01151535402823,480.28866136307477,99,270,1350,1350,540,1324,514,26,0
75,400.0,-350.0,531.5072906367325,-41.18592516570965,0.36666666666666664,1.0,0.40370370370370373,0.9807407407407407,0.3844444444444444,61.41710505772586,246.6500889086457,395.66451382279604,99,270,1350,1350,545,1324,519,26,0
76,400.0,350.0,531.5072906367325,41.18592516570965,0.36666666666666664,1.0,0.40370370370370373,0.9807407407407407,0.3844444444444444,61.41710505772596,246.65008890864638,395.6645138227931,99,270,1350,1350,545,1324,519,26,0
77,500.0,-250.0,559.0169943749474,-26.56505117707799,0.36666666666666664,1.0,0.4162962962962963,0.9807407407407407,0.397037037037037,55.84039407001233,289.7608117012165,525.4851805851513,99,270,1350,1350,562,1324,536,26,0
78,500.0,250.0,559.0169943749474,26.56505117707799,0.36666666666666664,1.0,0.4162962962962963,0.9807407407407407,0.397037037037037,55.84039407001223,289.76081170121836,525.4851805851504,99,270,1350,1350,562,1324,536,26,0
79,400.0,-400.0,565.685424949238,-45.0,0.36666666666666664,1.0,0.4096296296296296,0.9807407407407407,0.39037037037037037,58.17339408779829,220.0818273219121,338.5290143845009,99,270,1350,1350,553,1324,527,26,0
80,400.0,400.0,565.685424949238,45.0,0.36666666666666664,1.0,0.4096296296296296,0.9807407407407407,0.39037037037037037,58.17339408779839,220.08182732191148,338.52901438450294,99,270,1350,1350,553,1324,527,26,0
81,400.0,-450.0,602.0797289396148,-48.366460663429805,0.36666666666666664,1.0,0.41333333333333333,0.9807407407407407,0.3940740740740741,56.03465469874015,199.58395603451078,297.61024160927053,99,270,1350,1350,558,1324,532,26,0
82,400.0,450.0,602.0797289396148,48.366460663429805,0.36666666666666664,1.0,0.41333333333333333,0.9807407407407407,0.3940740740740741,56.03465469873984,199.58395603451171,297.6102416092721,99,270,1350,1350,558,1324,532,26,0
83,550.0,-300.0,626.4982043070834,-28.61045966596522,0.36666666666666664,1.0,0.42592592592592593,0.9807407407407407,0.4066666666666667,45.405636439595675,227.70706593288193,381.2841696862285,99,270,1350,1350,575,1324,549,26,0
84,550.0,300.0,626.4982043070834,28.61045966596522,0.36666666666666664,1.0,0.42592592592592593,0.9807407407407407,0.4066666666666667,45.40563643959571,227.70706593288332,381.2841696862303,99,270,1350,1350,575,1324,549,26,0
85,400.0,-500.0,640.3124237432849,-51.34019174590991,0.36666666666666664,1.0,0.4140740740740741,0.9807407407407407,0.39481481481481484,54.64779143613972,184.15831620858654,267.0524459286841,99,270,1350,1350,559,1324,533,26,0
86,400.0,500.0,640.3124237432849,51.34019174590991,0.36666666666666664,1.0,0.4140740740740741,0.9807407407407407,0.39481481481481484,54.64779143613937,184.1583162085857,267.0524459286854,99,270,1350,1350,559,1324,533,26,0
87,400.0,-550.0,680.0735254367721,-53.97262661489639,0.36666666666666664,1.0,0.4111111111111111,0.9807407407407407,0.39185185185185184,53.79726743383423,171.52645619880406,243.51176867536742,99,270,1350,1350,555,1324,529,26,0
88,400.0,550.0,680.0735254367721,53.97262661489639,0.36666666666666664,1.0,0.4111111111111111,0.9807407407407407,0.39185185185185184,53.79726743383384,171.5264561988032,243.51176867536896,99,270,1350,1350,555,1324,529,26,0
89,600.0,-350.0,694.6221994724903,-30.256437163529263,0.36666666666666664,1.0,0.42444444444444446,0.9807407407407407,0.4051851851851852,43.973984061474866,184.93209719038742,293.6738203354659,99,270,1350,1350,573,1324,547,26,0
90,600.0,350.0,694.6221994724903,30.256437163529263,0.36666666666666664,1.0,0.42444444444444446,0.9807407407407407,0.4051851851851852,43.973984061474795,184.93209719038637,293.67382033546477,99,270,1350,1350,573,1324,547,26,0
91,400.0,-600.0,721.1102550927978,-56.309932474020215,0.36666666666666664,1.0,0.40444444444444444,0.9807407407407407,0.3851851851851852,53.34332204610156,161.25232816751753,224.93987359698505,99,270,1350,1350,546,1324,520,26,0
92,400.0,600.0,721.1102550927978,56.309932474020215,0.36666666666666664,1.0,0.40444444444444444,0.9807407407407407,0.3851851851851852,53.343322046101505,161.25232816751685,224.9398735969835,99,270,1350,1350,546,1324,520,26,0
93,400.0,-650.0,763.2168761236874,-58.3924977537511,0.36666666666666664,1.0,0.4,0.9807407407407407,0.38074074074074077,53.19172270057573,153.380098129934,210.0120643948649,99,270,1350,1350,540,1324,514,26,0
94,650.0,-400.0,763.2168761236874,-31.6075022462489,0.36666666666666664,1.0,0.41555555555555557,0.9807407407407407,0.3962962962962963,44.64319325470045,154.19032616392332,235.56863413246938,99,270,1350,1350,561,1324,535,26,0
95,650.0,400.0,763.2168761236874,31.6075022462489,0.36666666666666664,1.0,0.41555555555555557,0.9807407407407407,0.3962962962962963,44.64319325470057,154.1903261639236,235.56863413247137,99,270,1350,1350,561,1324,535,26,0
96,400.0,650.0,763.2168761236874,58.3924977537511,0.36666666666666664,1.0,0.4,0.9807407407407407,0.38074074074074077,53.19172270057602,153.38009812993423,210.01206439486623,99,270,1350,1350,540,1324,514,26,0
97,400.0,-700.0,806.2257748298549,-60.25511870305778,0.36666666666666664,1.0,0.4,0.9807407407407407,0.38074074074074077,53.276785271096756,147.07651665948012,197.83381027388464,99,270,1350,1350,540,1324,514,26,0
98,400.0,700.0,806.2257748298549,60.25511870305778,0.36666666666666664,1.0,0.4,0.9807407407407407,0.38074074074074077,53.27678527109636,147.07651665948114,197.83381027388356,99,270,1350,1350,540,1324,514,26,0
99,450.0,-700.0,832.1658488546619,-57.264773727892404,0.36666666666666664,1.0,0.4162962962962963,0.9807407407407407,0.397037037037037,50.14287496179284,139.30624866213552,187.14523826685044,99,270,1350,1350,562,1324,536,26,0
100,450.0,700.0,832.1658488546619,57.264773727892404,0.36666666666666664,1.0,0.4162962962962963,0.9807407407407407,0.397037037037037,50.1428749617924,139.3062486621344,187.1452382668513,99,270,1350,1350,562,1324,536,26,0
